#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
103,Mozambique,"151,924",+56,"1,941 ",,"149,575",,408,8,"4,674",60,"985,270","30,315","32,501,238 ",Africa,"21416,74533",2,,13,,
104,Zimbabwe,"138,523",,"4,709 ",,"128,858",,"4,956",12,"9,131",310,"1,620,961","106,844","15,171,224 ",Africa,"1103,2229",,,327,,
105,Cyprus,"136,832",+307,601 ,,"124,370",,"11,861",49,"112,167",493,"9,477,138","7,768,834","1,219,892 ",Asia,"92,0300",252,,"9,723",,
106,Ghana,"130,920",,"1,209 ",,"129,042",,669,5,"4,092",38,"1,933,408","60,426","31,996,497 ",Africa,"24426,46517",,,21,,
107,Namibia,"129,796",+158,"3,574 ",+1,"125,531",+8,691,1,"49,798","1,371","799,972","306,920","2,606,447 ",Africa,207293,61,0.4,265,,
108,Uganda,"127,655",+39,"3,254 ",,"97,627",+30,"26,774",115,"2,671",68,"1,984,169","41,514","47,795,279 ",Africa,"37414,68824",0.8,,560,,
109,Cambodia,"120,256",+24,"2,960 ",+4,"116,609",+21,687,,"7,054",174,"2,725,832","159,885","17,048,693 ",Asia,"1425,7606",1,0.2,40,,
110,El Salvador,"119,803",,"3,783 ",+2,"102,982",,"13,038",246,"18,338",579,"1,440,742","220,537","6,532,881 ",North America,"551,7275",,0.3,"1,996",,
111,Cameroon,"107,148",,"1,804 ",,"102,716",,"2,628",152,"3,898",66,"1,751,774","63,733","27,486,303 ",Africa,"25715,23616",,,96,,
112,Rwanda,"100,414",+10,"1,343 ",,"45,522",,"53,549",,"7,488",100,"3,557,771","265,324","13,409,173 ",Africa,"1349,9844",0.7,,"3,993",,
