#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
182,New Zealand,"5,899",+77,28 ,,"4,567",+5,"1,304",5,"1,179",6,"3,979,577","795,581","5,002,100 ",Australia/Oceania,"848178,6461",15,,261,,
183,Grenada,"5,824",+6,197 ,+1,"5,503",,124,,"51,444","1,740","79,955","706,254","113,210 ",North America,195751,53,9,"1,095",,
184,Liberia,"5,811",,287 ,,"5,458",,66,2,"1,115",55,"128,246","24,597","5,213,866 ",Africa,"89718,16741",,,13,,
185,Bermuda,"5,625",,98 ,,"5,400",,127,1,"90,762","1,581","586,598","9,465,075","61,975 ",North America,116320,,,"2,049",,
186,San Marino,"5,509",,92 ,,"5,383",,34,2,"161,910","2,704","82,601","2,427,656","34,025 ",Europe,63700,,,999,,
187,Chad,"5,067",,174 ,,"4,874",,19,,297,10,"148,082","8,688","17,044,655 ",Africa,"3,36497,958115",,,1,,
188,St. Vincent Grenadines,"4,905",,64 ,,"3,060",,"1,781",2,"44,029",574,"85,741","769,640","111,404 ",North America,"231,7411",,,"15,987",,
189,Dominica,"4,659",,30 ,,"4,248",,381,,"64,509",415,"89,602","1,240,647","72,222 ",North America,"162,4071",,,"5,275",,
190,Sint Maarten,"4,484",,75 ,,"4,370",,39,10,"103,040","1,723","53,105","1,220,328","43,517 ",North America,105801,,,896,,
191,Comoros,"4,233",,147 ,,"4,048",,38,,"4,735",164,,,"893,947 ",Africa,"2116,081",,,43,,
192,Antigua and Barbuda,"4,031",,99 ,,"3,541",,391,9,"40,718","1,000","17,674","178,531","98,997 ",North America,"251,0006",,,"3,950",,
193,Saint Martin,"3,850",,55 ,,"1,399",,"2,396",7,"97,387","1,391","54,303","1,373,612","39,533 ",North America,107191,,,"60,608",,
194,Sao Tome and Principe,"3,705",,56 ,,"3,211",,438,,"16,503",249,"14,689","65,427","224,510 ",Africa,"614,00915",,,"1,951",,
195,Liechtenstein,"3,547",+2,61 ,,"3,441",+6,45,2,"92,679","1,594","49,126","1,283,602","38,272 ",Europe,116271,52,,"1,176",,
196,Monaco,"3,399",,36 ,,"3,337",,26,2,"85,816",909,"54,960","1,387,598","39,608 ",Europe,"121,1001",,,656,,
197,Turks and Caicos,"2,961",+5,23 ,,"2,882",+6,56,1,"75,141",584,"94,789","2,405,446","39,406 ",North America,"131,7130",127,,"1,421",,
198,British Virgin Islands,"2,725",,37 ,,"2,649",,39,7,"89,356","1,213","82,570","2,707,568","30,496 ",North America,118240,,,"1,279",,
199,Saint Kitts and Nevis,"2,637",,21 ,,"2,313",,303,1,"49,112",391,"51,994","968,339","53,694 ",North America,"202,5571",,,"5,643",,
200,Bhutan,"2,620",+3,3 ,,"2,610",,7,,"3,347",4,"1,195,003","1,526,593","782,791 ",Asia,"299260,9301",4,,9,,
201,Caribbean Netherlands,"2,402",,19 ,,"2,294",,89,,"90,491",716,"25,579","963,645","26,544 ",North America,"111,3971",,,"3,353",,
202,Faeroe Islands,"1,778",+64,2 ,,"1,339",+6,437,5,"36,206",41,"467,000","9,509,652","49,108 ",Europe,"2824,5540","1,303",,"8,899",,
203,St. Barth,"1,589",,6 ,,462,,"1,121",,"160,230",605,"38,369","3,869,013","9,917 ",North America,"61,6530",,,"113,038",,
204,Cayman Islands,"1,279",,2 ,,957,,320,,"19,164",30,"136,780","2,049,507","66,738 ",North America,"5233,3690",,,"4,795",,
205,Anguilla,859,,1 ,,749,,109,,"56,591",66,"47,917","3,156,796","15,179 ",North America,"1815,1790",,,"7,181",,
206,Greenland,779,+7, ,,704,+13,75,2,"13,691",,"85,448","1,501,722","56,900 ",North America,731,123,,"1,318",,
209,Macao,77,, ,,66,,11,,116,,"4,988","7,546","660,982 ",Asia,"8,584133",,,17,,
210,Falkland Islands,68,, ,,67,,1,,"18,821",,"7,643","2,115,417","3,613 ",South America,530,,,277,,
211,Montserrat,41,,1 ,,34,,6,,"8,207",200,"1,408","281,825","4,996 ",North America,"1224,9964",,,"1,201",,
215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"616,632 ",Africa,"61,663616,632",,,2,,
218,Vanuatu,6,,1 ,,3,,2,,19,3,"23,000","72,653","316,575 ",Australia/Oceania,"52,763316,57514",,,6,,
223,China,"96,899",+59,"4,636 ",,"91,620",+19,643,27,67,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,854310,4679",0.04,,0.4,,
Total:,"245,614,108","+351,992","4,984,401","+6,074","222,615,247","+265,286","18,014,460","75,583","31,510.0",639.5,,,,All,,,,,,,
